15488.0,"[15467.0, 0.0, 2.0, 15488.0, 0.05, 1.58884, 0.0, 0.0, 0.0, 0.0]"
15489.0,"[15467.0, 0.0, 2.0, 15489.0, 0.05, 1.63876, 0.0, 0.0, 0.0, 0.0]"
15490.0,"[15470.0, 50520.0, 0.0, 15490.0, 0.05, 1.61421, 0.0, 0.0, 1.4, 1004.9]"
15492.0,"[15492.0, 43380.0, 0.0, 15492.0, 0.05, 1.52948, 0.0, 0.0, 2.45, 1013.4]"
15497.0,"[15471.0, 0.0, 2.0, 15497.0, 0.05, 1.58959, 0.0, 0.0, 0.0, 0.0]"
15498.0,"[15471.0, 0.0, 2.0, 15498.0, 0.05, 1.63951, 0.0, 0.0, 0.0, 0.0]"
15499.0,"[15478.0, 79560.0, 0.0, 15499.0, 0.05, 1.58326, 0.0, 0.0, 3.4, 1008.3]"
15501.0,"[15496.0, 120.0, 0.0, 15501.0, 0.05, 1.53822, 0.0, 0.0, -0.75, 1013.1]"
15506.0,"[15497.0, 0.0, 2.0, 15506.0, 0.05, 1.51323, 0.0, 0.0, 0.0, 0.0]"
15507.0,"[15497.0, 0.0, 2.0, 15507.0, 0.05, 1.56315, 0.0, 0.0, 0.0, 0.0]"
15508.0,"[15497.0, 10440.0, 0.0, 15508.0, 0.05, 1.53836, 0.0, 0.0, -0.2, 1013.65]"
15511.0,"[15498.0, 16320.0, 0.0, 15511.0, 0.05, 1.54825, 0.0, 0.0, 1.0, 1014.85]"
15514.0,"[15481.0, 0.0, 2.0, 15514.0, 0.05, 1.55495, 0.0, 0.0, 0.0, 0.0]"
15515.0,"[15481.0, 0.0, 2.0, 15515.0, 0.05, 1.60487, 0.0, 0.0, 0.0, 0.0]"
15516.0,"[15481.0, 120.0, 0.0, 15516.0, 0.05, 1.57991, 0.0, 0.0, 0.05, 1008.3499999999999]"
15518.0,"[15483.0, 41880.0, 0.0, 15518.0, 0.05, 1.56944, 0.0, 0.0, 2.6, 1010.9499999999999]"
15557.0,"[15495.0, 60.0, 2.0, 15557.0, 0.05, 1.56066, 0.0, 0.0, 0.0, 0.0]"
15558.0,"[15495.0, 420.0, 0.0, 15558.0, 0.05, 1.53602, 0.0, 0.0, 0.45, 1013.85]"
15524.0,"[15484.0, 0.0, 2.0, 15524.0, 0.05, 1.54415, 0.0, 0.0, 0.0, 0.0]"
15525.0,"[15484.0, 0.0, 2.0, 15525.0, 0.05, 1.59407, 0.0, 0.0, 0.0, 0.0]"
15526.0,"[15484.0, 2820.0, 0.0, 15526.0, 0.05, 1.56915, 0.0, 0.0, -0.55, 1010.4]"
15528.0,"[15485.0, 14760.0, 0.0, 15528.0, 0.05, 1.56685, 0.0, 0.0, 0.0, 1010.9499999999999]"
15532.0,"[15499.0, 0.0, 2.0, 15532.0, 0.05, 1.52771, 0.0, 0.0, 0.0, 0.0]"
15533.0,"[15499.0, 0.0, 2.0, 15533.0, 0.05, 1.57763, 0.0, 0.0, 0.0, 0.0]"
15534.0,"[15488.0, 0.0, 2.0, 15534.0, 0.05, 1.5443, 0.0, 0.0, 0.0, 0.0]"
