15720.0,15.01.2013
15721.0,16.01.2013
15722.0,17.01.2013
15723.0,18.01.2013
15726.0,21.01.2013
15727.0,22.01.2013
15728.0,23.01.2013
15729.0,24.01.2013
15730.0,25.01.2013
15733.0,28.01.2013
15734.0,29.01.2013
15735.0,30.01.2013
15736.0,31.01.2013
15737.0,01.02.2013
15740.0,04.02.2013
15741.0,05.02.2013
15742.0,06.02.2013
15743.0,07.02.2013
15744.0,08.02.2013
15747.0,11.02.2013
15748.0,12.02.2013
15749.0,13.02.2013
15750.0,14.02.2013
15751.0,15.02.2013
15754.0,18.02.2013
15755.0,19.02.2013
15756.0,20.02.2013
15757.0,21.02.2013
15758.0,22.02.2013
