2003.07.01_00:00:21.132,1.65538,1.65524,11.5,7.6
2003.07.01_00:00:25.132,1.65511,1.65501,7.6,13.9
2003.07.01_00:00:40.132,1.65488,1.65468,12.5,11.9
2003.07.01_00:00:46.132,1.65459,1.65449,3.2,0.8
2003.07.01_00:00:54.132,1.65438,1.65428,11.6,20.1
2003.07.01_00:01:10.132,1.65426,1.65406,0.6,2.6
2003.07.01_00:01:17.132,1.65414,1.65394,14.3,1.3
2003.07.01_00:01:20.132,1.65406,1.65386,0.9,3.2
2003.07.01_00:01:23.132,1.65402,1.65382,3.2,11.5
2003.07.01_00:01:50.132,1.65398,1.65383,47.3,10.7
